SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
SRF,9.0,SRF,2923.0,69.27,86644.96,20.83,24.6,23.55,94.06,50.26,18.42,18.28,12.23,5.66,0.0,8.91,4.52,Chemicals,True
NAVINFLUOR,13.0,Navin Fluo.Intl.,4319.3,74.23,21421.9,16.44,34.94,15.63,13.59,28.43,30.04,20.16,14.04,9.54,0.0,5.49,6.86,Chemicals,False
DEEPAKFERT,10.0,Deepak Fertiliz.,1348.75,19.53,17026.33,39.21,335.56,-6.11,18.23,45.63,11.33,10.73,8.42,6.55,0.0,4.06,34.19,Chemicals,False
ANURAS,3.0,Anupam Rasayan,961.85,132.69,10573.73,32.02,53.12,32.72,77.04,61.18,2.25,6.47,-7.59,0.98,0.01,2.86,42.13,Chemicals,False
PRIVISCL,5.0,Privi Speci.,2340.45,49.49,9142.43,26.67,106.22,24.99,43.82,74.05,1.95,0.4,20.12,1.91,0.0,4.98,48.84,Chemicals,False
JUBLCPL,8.0,Jubilant Agri,1537.6,41.32,2316.71,35.9,-17.16,-2.35,-13.57,74.78,0.08,0.13,,4.5,0.0,10.44,2.03,Chemicals,False
504092,6.0,Indokem,195.0,173.19,543.81,35.94,469.9,25.41,421.92,68.71,0.2,0.0,11.29,2.01,0.0,6.77,14.2,Chemicals,False
500414,4.0,Timex Group,216.45,69.56,2185.08,47.09,30.51,12.9,376.29,74.93,0.01,0.11,30.61,9.81,0.0,11.43,30.01,Consumer Durables,False
PARIN,2.0,Parin Enterpris.,388.0,62.43,431.38,286.93,632.85,251.89,422.52,73.02,0.0,0.0,,5.58,0.0,3.48,8.52,Consumer Durables,False
INM,3.0,Interiors,454.0,30.83,317.59,177.72,121.59,-39.25,-38.29,70.26,0.0,7.99,,6.97,0.33,16.56,37.58,Consumer Durables,False
TITAN,3.0,Titan Company,3623.3,96.42,321671.57,19.39,12.97,-15.92,-16.81,52.9,12.01,17.82,18.56,6.3,0.0,5.83,13.18,"Diamond, Gems and Jewellery",True
MARICO,2.0,Marico,721.45,57.38,93465.76,19.84,7.86,-2.29,-15.02,59.05,14.12,22.09,12.47,2.53,-0.06,37.75,13.7,Edible Oil,True
539682,3.0,Lucent Industrie,635.05,,952.58,,-100.0,,84.62,67.61,0.0,0.0,,3.78,0.0,,9.49,Education,False
LMW,2.0,LMW,17345.0,180.59,18529.67,-17.21,-27.52,4.85,147.77,31.13,9.63,5.91,-34.35,9.66,0.0,,21.82,Engineering,False
MANORAMA,11.0,Manorama Indust.,1403.9,74.66,8367.1,80.01,238.16,11.29,43.14,54.42,5.14,2.81,74.81,7.64,-2.84,5.57,40.77,FMCG,False
KRBL,8.0,KRBL,326.6,17.14,7475.52,16.96,-0.92,32.38,29.16,60.17,0.39,5.13,3.68,6.36,0.0,159.05,19.89,FMCG,False
VADILALIND,10.0,Vadilal Inds.,6855.95,31.6,4929.46,16.98,29.11,-31.02,-69.39,64.73,0.0,0.68,7.99,7.34,0.0,6.65,88.63,FMCG,False
GRMOVER,15.0,GRM Overseas,307.5,29.78,1845.0,-2.94,-12.59,17.67,47.33,72.43,0.25,0.72,13.25,9.82,0.14,5.96,36.11,FMCG,False
543737,9.0,Aveer Foods,772.95,91.58,311.37,26.1,331.58,4.22,-44.22,72.06,0.0,0.0,13.1,6.72,0.0,37.33,13.54,FMCG,False
COROMANDEL,6.0,Coromandel Inter,2447.25,40.21,72104.89,27.49,89.62,-28.07,13.89,56.96,18.97,10.61,12.08,7.65,0.0,6.83,40.97,Fertilizers,False
PARADEEP,3.0,Paradeep Phosph.,155.0,22.87,12638.03,55.79,644.33,-14.88,0.81,56.05,24.44,7.17,28.79,2.49,0.0,3.16,54.55,Fertilizers,False
MANGCHEFER,2.0,Mangalore Chem.,244.75,20.16,2900.8,-1.6,231.2,-20.03,-72.07,60.62,6.71,2.12,0.31,1.75,-0.01,2.47,60.41,Fertilizers,False
KRISHANA,1.0,Krishana Phosch.,369.05,25.83,2234.69,79.53,487.84,55.54,60.06,71.86,0.0,0.04,52.27,1.59,0.63,6.78,98.95,Fertilizers,False
BALAJIPHOS,4.0,Balaji Phos.,140.0,55.21,332.88,,,,,69.9,1.35,3.55,,3.45,-30.1,,,Fertilizers,False
BAJFINANCE,46.0,Bajaj Finance,9212.0,34.39,572460.09,23.65,17.13,2.34,5.51,54.73,14.78,21.45,26.8,5.13,0.03,1.86,9.49,Finance,True
BAJAJFINSV,45.0,Bajaj Finserv,2030.05,36.54,324364.05,14.21,14.07,14.21,7.81,60.65,8.99,7.53,22.08,4.92,0.0,1.94,10.89,Finance,True
BAJAJHLDNG,34.0,Bajaj Holdings,12935.55,19.15,143959.75,16.92,6.32,-54.73,15.86,51.46,7.3,10.56,905.51,2.28,0.0,4814.57,4.59,Finance,False
CHOLAFIN,40.0,Cholaman.Inv.&Fn,1622.4,32.02,136447.55,30.23,18.24,4.64,15.74,49.92,15.49,28.23,35.16,3.59,-0.01,1.5,16.95,Finance,True
SHRIRAMFIN,60.0,Shriram Finance,666.35,15.03,125299.36,20.78,10.69,7.07,-34.01,25.4,15.34,53.58,19.66,8.78,0.0,1.53,25.16,Finance,True
HDFCAMC,33.0,HDFC AMC,4756.2,41.33,101717.57,29.59,18.05,-3.55,-0.43,52.47,18.01,20.51,35.46,2.22,-0.01,322.28,25.32,Finance,True
SBICARD,31.0,SBI Cards,915.45,45.47,87095.24,7.5,-19.35,1.2,39.39,68.6,17.22,9.88,6.68,1.63,0.0,1.9,6.09,Finance,True
SUNDARMFIN,61.0,Sundaram Finance,5046.75,34.37,56071.36,20.26,6.56,5.07,4.43,37.22,7.54,19.0,27.88,8.84,0.0,1.55,11.29,Finance,False
MFSL,18.0,Max Financial,1371.0,143.42,47315.23,-16.87,174.88,38.7,-45.17,1.74,47.29,44.75,6.54,0.0,-1.6,2.57,28.41,Finance,True
LTF,57.0,L&T Finance Ltd,179.1,16.91,44727.52,9.61,14.98,-1.82,1.63,66.24,13.28,5.48,16.99,7.8,-0.01,1.5,29.99,Finance,True
AIIL,27.0,Authum Invest,2144.1,8.56,36416.47,62.76,17.9,133.47,224.01,74.95,0.09,7.41,711.23,0.59,0.0,75.94,30.77,Finance,False
PNBHOUSING,65.0,PNB Housing,1087.3,14.52,28261.68,12.73,27.79,5.57,20.3,28.1,29.88,21.45,8.9,9.56,-0.01,1.62,35.49,Finance,True
MANAPPURAM,54.0,Manappuram Fin.,229.2,16.55,19400.28,0.5,-134.04,-7.81,-172.97,35.25,7.99,28.43,14.26,7.43,0.0,0.74,28.75,Finance,True
MAHSCOOTER,41.0,Mah. Scooters,12450.0,82.89,14228.56,28.38,3920.0,14.85,1464.55,51.0,4.52,4.9,-15.77,4.16,0.0,,33.51,Finance,False
CHOICEIN,32.0,Choice Intl.,679.4,86.68,13564.58,17.92,34.22,20.86,74.07,58.13,0.16,13.63,23.36,1.88,-0.08,4.43,37.9,Finance,False
SBFC,39.0,SBFC Finance,107.7,33.88,11696.21,29.33,28.56,8.23,7.18,53.33,17.67,6.53,28.15,3.2,-1.42,2.07,31.9,Finance,False
INDIASHLTR,50.0,INDIA SHELTE FIN,879.4,25.17,9491.0,39.45,38.8,7.58,12.5,47.92,18.52,6.93,40.6,6.25,-0.08,2.37,32.98,Finance,False
JINDALPHOT,48.0,Jindal Photo,970.0,3.4,995.04,11.63,-72.67,-40.74,-80.26,74.2,0.02,0.0,135.31,5.8,0.0,21.01,52.14,Finance,False
530927,1.0,Haryana Fin. Co.,38.91,,808.0,-100.0,-555.56,-100.0,57.25,99.36,0.09,0.0,,0.0,0.0,,40.62,Finance,False
530245,42.0,Aryaman Fin.Serv,559.7,20.73,653.85,529.19,131.25,4.98,-50.99,63.92,0.01,0.0,221.3,4.32,1.75,20.98,20.21,Finance,False
538716,28.0,Aryaman Capital,254.0,13.27,304.22,299.36,356.99,106.83,186.2,74.28,0.0,0.0,,0.78,0.0,13.48,13.14,Finance,False
BSE,1.0,BSE,7242.0,74.43,98039.56,70.09,364.43,11.14,125.84,0.0,12.33,16.78,108.21,2.43,0.0,,39.59,Financial Services,True
MCX,2.0,Multi Comm. Exc.,6350.0,57.88,32383.96,60.83,54.16,-3.33,-15.36,0.0,58.1,21.8,62.99,9.91,0.0,1295.54,13.98,Financial Services,True
ASAHIINDIA,2.0,Asahi India Glas,756.05,53.36,18379.58,6.77,24.97,4.94,-12.44,54.19,1.63,4.15,5.49,9.34,-0.04,4.79,19.73,Glass & Glass Products,False
AGARWALTUF,1.0,Agarwal Toughene,136.65,27.76,241.52,,,,,63.94,7.24,2.39,,7.48,0.0,5.43,25.37,Glass & Glass Products,False
MAXHEALTH,3.0,Max Healthcare,1181.6,108.37,114868.32,39.95,0.48,9.42,-15.26,23.74,17.59,54.74,26.47,3.77,0.0,8.3,18.22,Healthcare,True
APOLLOHOSP,8.0,Apollo Hospitals,7061.5,77.51,101533.53,13.94,51.77,-1.12,-4.12,29.34,22.29,42.74,14.82,6.41,0.01,5.88,12.79,Healthcare,True
FORTIS,7.0,Fortis Health.,701.0,67.35,52922.56,14.8,76.38,-3.02,31.71,31.17,29.46,27.4,12.07,5.84,0.0,6.66,15.82,Healthcare,False
