S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
5.,Afcom,671.05,51.91,1668.07,25.12,54.72,15.86,42.34,42.73,1.00,0.00,,47.12,0.00,12.71,-17.59,544224,Air Transport Service
1.,Interglobe Aviat,5599.60,35.60,216390.58,13.67,-18.56,30.30,346.97,49.27,20.66,25.12,17.42,0.87,0.00,2.93,32.34,INDIGO,Air Transport Service
2.,TAAL Enterprises,3200.00,21.39,997.24,-1.63,47.92,-11.71,-21.82,50.80,0.21,2.21,1.20,11.06,-0.18,80.58,18.60,539956,Air Transport Service
3.,Global Vectra,225.00,,315.00,10.02,-188.76,14.71,27.71,75.00,0.00,0.00,21.24,35.00,0.00,0.53,-13.76,GLOBALVECT,Air Transport Service
4.,SpiceJet,45.53,,6435.25,-35.33,108.28,35.13,105.65,33.46,6.92,11.85,-24.55,43.02,4.33,1.41,4.24,SPICEJET,Air Transport Service
5.,Afcom,671.05,51.91,1668.07,25.12,54.72,15.86,42.34,42.73,1.00,0.00,,47.12,0.00,12.71,-17.59,544224,Air Transport Service
1.,Interglobe Aviat,5590.50,35.54,216038.92,13.67,-18.56,30.30,346.97,49.27,20.66,25.12,17.42,1.04,0.00,2.93,32.34,INDIGO,Air Transport Service
2.,TAAL Enterprises,3200.00,21.39,997.24,-1.63,47.92,-11.71,-21.82,50.80,0.21,2.21,1.20,11.06,-0.18,80.58,18.60,539956,Air Transport Service
3.,Global Vectra,224.20,,313.88,10.02,-188.76,14.71,27.71,75.00,0.00,0.00,21.24,35.23,0.00,0.53,-13.76,GLOBALVECT,Air Transport Service
4.,SpiceJet,45.64,,6450.80,-35.33,108.28,35.13,105.65,33.46,6.92,11.85,-24.55,42.88,4.33,1.41,4.24,SPICEJET,Air Transport Service
5.,Afcom,671.05,51.91,1668.07,25.12,54.72,15.86,42.34,42.73,1.00,0.00,,47.12,0.00,12.71,-17.59,544224,Air Transport Service
