S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
133.,Morganite Crucib,1374.35,31.07,769.64,-3.59,13.05,-11.80,-19.74,75.00,0.02,0.00,1.95,38.43,-52.65,0.00,17.84,523160
134.,Rane Brake Lin.,751.45,15.74,580.86,7.12,10.36,3.94,5.53,70.93,3.67,0.34,8.77,49.92,-29.93,0.00,17.69,RBL
135.,Kothari Sugars,54.25,9.53,449.68,3.14,109.31,16.90,-85.33,73.53,0.83,0.66,13.63,45.71,-1.72,0.00,17.63,KOTARISUG
136.,Kings Infra,185.80,57.42,455.31,50.96,2.07,7.44,-33.03,68.78,0.00,0.00,63.21,48.08,-6.04,-2.91,17.62,530215
137.,Bharat Seats,144.50,18.63,453.73,14.05,16.21,-12.59,-18.70,74.59,0.11,0.00,6.66,42.43,-5.76,0.00,17.60,523229
138.,Sadhav,176.40,35.26,253.18,,,,,69.44,,,,63.09,7.06,,17.52,SADHAV
139.,Shree Vasu Logis,230.00,83.19,263.72,19.77,308.33,-3.60,-19.67,73.00,0.00,0.00,,48.06,-2.60,0.00,17.51,SVLL
140.,Pasupati Acrylon,38.50,31.71,343.15,-19.04,-13.59,27.30,194.49,65.87,0.21,0.53,-35.38,41.99,-1.29,0.00,17.48,PASUPTAC
141.,Jayant Infratech,217.70,44.96,211.31,,,32.59,0.85,71.44,0.00,0.00,,38.06,-12.43,0.00,17.41,543544
142.,Indo Amines,115.15,16.02,814.08,-8.18,-7.59,-23.36,-19.36,66.76,0.00,0.10,0.60,34.96,-9.98,-0.11,17.35,INDOAMIN
143.,Ascom Leasing &,236.00,54.53,276.45,,,1.13,1.59,73.98,0.00,0.00,,55.30,-23.26,0.00,17.34,ASCOM
144.,Goldstar Power,14.90,86.42,358.65,,,85.17,19.58,72.91,0.00,0.00,,44.58,-0.04,0.00,17.33,GOLDSTAR
145.,Jay Jalaram Tech,345.10,156.78,384.10,,,62.67,-61.99,73.05,0.00,0.00,,43.66,-22.86,0.00,17.32,KORE
146.,TPL Plastech,63.05,27.94,491.81,20.09,16.67,5.41,38.03,74.86,0.08,0.00,16.05,53.14,-1.77,0.00,17.21,TPLPLASTEH
147.,Essen Speciality,174.45,28.01,361.10,,,,,70.07,2.30,0.79,,36.94,-6.81,0.02,17.14,ESFL
148.,Donear Inds.,100.25,19.07,521.30,-1.76,-38.47,21.41,45.62,74.56,0.00,0.00,0.95,48.14,-1.33,0.00,16.95,DONEAR
149.,Mitsu Chem Plast,158.25,21.82,203.55,2.55,75.69,-3.05,112.00,67.75,0.00,0.00,4.37,41.18,-4.55,-5.28,16.83,540078
150.,Rama Phosphates,167.65,,296.57,-44.12,-466.26,-32.24,-4538.81,75.00,0.03,0.01,-14.86,32.79,-8.70,0.00,16.82,RAMAPHO
151.,Konstelec Engg.,166.65,35.49,251.64,,,,,66.77,,,,36.37,-16.03,-24.88,16.81,KONSTELEC
152.,NDR Auto Compon.,775.85,24.90,922.69,32.67,50.35,-11.01,-17.25,73.06,0.00,0.01,66.01,45.36,1.07,0.00,16.62,NDRAUTO
153.,Captain Pipes,16.20,59.23,239.29,-5.02,-6.42,21.11,-1.92,73.78,0.00,0.00,,43.20,-0.82,0.00,16.56,538817
154.,Espire Hospi,168.45,119.06,227.41,113.41,790.00,135.80,345.00,74.07,0.00,0.00,315.36,42.32,-11.18,0.00,16.53,532016
