,Company Name,Industry,Symbol,Series,ISIN Code,Ticker,Name,Weight,Shares,Price
20,Aether Industries Ltd,Chemicals,AETHER,EQ,INE0BWX01014,AETHER IS Equity,Aether Industries Ltd,--,--,917.3
21,Alembic Pharmaceuticals Ltd,Healthcare,APLLTD,EQ,INE901L01018,ALPM IS Equity,Alembic Pharmaceuticals Ltd,--,--,989.05
22,Alkem Laboratories Ltd,Healthcare,ALKEM,EQ,INE540L01014,ALKEM IS Equity,Alkem Laboratories Ltd,--,--,5063.5498
23,Allcargo Logistics Ltd,Services,ALLCARGO,EQ,INE418H01029,AGLL IS Equity,Allcargo Logistics Ltd,--,--,64.46
24,Alok Industries Ltd,Textiles,ALOKINDS,EQ,INE270A01029,ALOK IS Equity,Alok Industries Ltd,--,--,28.28
25,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,ARE&M,EQ,INE885A01032,ARENM IS Equity,Amara Raja Energy & Mobility Ltd,--,--,1694.65
26,Amber Enterprises India Ltd,Consumer Durables,AMBER,EQ,INE371P01015,AMBER IS Equity,Amber Enterprises India Ltd,--,--,4503.7998
27,Ambuja Cements Ltd,Construction Materials,AMBUJACEM,EQ,INE079A01024,ACEM IS Equity,Ambuja Cements Ltd,--,--,686.0
28,Anand Rathi Wealth Ltd,Financial Services,ANANDRATHI,EQ,INE463V01026,ANANDRAT IS Equity,Anand Rathi Wealth Ltd,--,--,4010.25
29,Angel One Ltd,Financial Services,ANGELONE,EQ,INE732I01013,ANGELONE IS Equity,Angel One Ltd,--,--,2363.6001
30,Anupam Rasayan India Ltd,Chemicals,ANURAS,EQ,INE930P01018,ANURAS IS Equity,Anupam Rasayan India Ltd,--,--,762.75
31,Apar Industries Ltd,Capital Goods,APARINDS,EQ,INE372A01015,APR IS Equity,Apar Industries Ltd,--,--,8861.5498
32,Apollo Hospitals Enterprise Ltd,Healthcare,APOLLOHOSP,EQ,INE437A01024,APHS IS Equity,Apollo Hospitals Enterprise Ltd,--,--,6328.5498
33,Apollo Tyres Ltd,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APTY IS Equity,Apollo Tyres Ltd,--,--,524.35
34,Aptus Value Housing Finance India Ltd,Financial Services,APTUS,EQ,INE852O01025,APTUS IS Equity,Aptus Value Housing Finance India Ltd,--,--,340.05
35,Archean Chemical Industries Ltd,Chemicals,ACI,EQ,INE128X01021,ACI IS Equity,Archean Chemical Industries Ltd,--,--,747.05
36,Asahi India Glass Ltd,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,AISG IS Equity,Asahi India Glass Ltd,--,--,690.45
37,Ashok Leyland Ltd,Capital Goods,ASHOKLEY,EQ,INE208A01029,AL IS Equity,Ashok Leyland Ltd,--,--,229.56
38,Asian Paints Ltd,Consumer Durables,ASIANPAINT,EQ,INE021A01026,APNT IS Equity,Asian Paints Ltd,--,--,2935.8999
39,Aster DM Healthcare Ltd,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM IS Equity,Aster DM Healthcare Ltd,--,--,340.1
40,Astral Ltd,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRA IS Equity,Astral Ltd,--,--,2406.25
