Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2020-10-27,2020,1720.8,148849,MCX.NS,50.998
2020-10-28,2020,1690.8,208432,MCX.NS,50.998
2020-10-29,2020,1600.4,1106834,MCX.NS,50.998
2020-10-30,2020,1628.0,193591,MCX.NS,50.998
2020-11-02,2020,1603.4,96132,MCX.NS,50.998
2020-11-03,2020,1586.9,159999,MCX.NS,50.998
2020-11-04,2020,1564.3,430234,MCX.NS,50.998
2020-11-05,2020,1614.2,337150,MCX.NS,50.998
2020-11-06,2020,1654.1,249664,MCX.NS,50.998
2020-11-09,2020,1630.6,116974,MCX.NS,50.998
2020-11-10,2020,1589.4,164549,MCX.NS,50.998
2020-11-11,2020,1614.0,98130,MCX.NS,50.998
2020-11-12,2020,1589.2,92516,MCX.NS,50.998
2020-11-13,2020,1607.3,120755,MCX.NS,50.998
2020-11-14,2020,1611.4,19105,MCX.NS,50.998
2020-11-17,2020,1584.4,175735,MCX.NS,50.998
2020-11-18,2020,1569.0,177730,MCX.NS,50.998
2020-11-19,2020,1548.7,168202,MCX.NS,50.998
2020-11-20,2020,1541.0,157598,MCX.NS,50.998
2020-11-23,2020,1519.0,260563,MCX.NS,50.998
2020-11-24,2020,1543.8,269067,MCX.NS,50.998
2020-11-25,2020,1558.2,263726,MCX.NS,50.998
2020-11-26,2020,1543.5,251597,MCX.NS,50.998
2020-11-27,2020,1545.7,211016,MCX.NS,50.998
2020-12-01,2020,1523.9,245398,MCX.NS,50.998
2020-12-02,2020,1500.4,277605,MCX.NS,50.998
2020-12-03,2020,1503.7,192950,MCX.NS,50.998
2020-12-04,2020,1498.9,156315,MCX.NS,50.998
2020-12-07,2020,1496.5,228560,MCX.NS,50.998
2020-12-08,2020,1525.8,365203,MCX.NS,50.998
2020-12-09,2020,1608.1,1346553,MCX.NS,50.998
2020-12-10,2020,1616.7,456217,MCX.NS,50.998
2020-12-11,2020,1596.4,221117,MCX.NS,50.998
2020-12-14,2020,1629.4,313099,MCX.NS,50.998
2020-12-15,2020,1635.6,391653,MCX.NS,50.998
2020-12-16,2020,1632.6,229649,MCX.NS,50.998
2020-12-17,2020,1639.8,268322,MCX.NS,50.998
2020-12-18,2020,1630.2,113437,MCX.NS,50.998
2020-12-21,2020,1581.2,396092,MCX.NS,50.998
2020-12-22,2020,1579.4,157239,MCX.NS,50.998
2020-12-23,2020,1600.7,459495,MCX.NS,50.998
2020-12-24,2020,1657.4,326932,MCX.NS,50.998
2020-12-28,2020,1669.5,355431,MCX.NS,50.998
2020-12-29,2020,1682.3,129388,MCX.NS,50.998
2020-12-30,2020,1680.9,163291,MCX.NS,50.998
2020-12-31,2020,1656.4,89347,MCX.NS,50.998
2021-01-01,2021,1673.2,76577,MCX.NS,50.998
2021-01-04,2021,1707.7,215222,MCX.NS,50.998
2021-01-05,2021,1692.5,183057,MCX.NS,50.998
2021-01-06,2021,1665.2,172471,MCX.NS,50.998
2021-01-07,2021,1675.3,242573,MCX.NS,50.998
2021-01-08,2021,1641.9,195953,MCX.NS,50.998
2021-01-11,2021,1638.1,320464,MCX.NS,50.998
2021-01-12,2021,1614.1,162875,MCX.NS,50.998
2021-01-13,2021,1617.9,191015,MCX.NS,50.998
2021-01-14,2021,1618.4,199851,MCX.NS,50.998
2021-01-15,2021,1604.3,111449,MCX.NS,50.998
2021-01-18,2021,1568.1,116888,MCX.NS,50.998
2021-01-19,2021,1575.8,87713,MCX.NS,50.998
2021-01-20,2021,1601.4,118558,MCX.NS,50.998
2021-01-21,2021,1608.2,215157,MCX.NS,50.998
2021-01-22,2021,1602.9,189367,MCX.NS,50.998
2021-01-25,2021,1593.9,118182,MCX.NS,50.998
2021-01-27,2021,1580.8,182008,MCX.NS,50.998
2021-01-28,2021,1600.6,175330,MCX.NS,50.998
2021-01-29,2021,1572.9,114242,MCX.NS,50.998
2021-02-01,2021,1529.7,244606,MCX.NS,50.998
2021-02-02,2021,1541.8,278261,MCX.NS,50.998
2021-02-03,2021,1507.1,453462,MCX.NS,50.998
2021-02-04,2021,1514.5,156839,MCX.NS,50.998
2021-02-05,2021,1517.2,198076,MCX.NS,50.998
2021-02-08,2021,1487.6,318777,MCX.NS,50.998
2021-02-09,2021,1484.4,284597,MCX.NS,50.998
2021-02-10,2021,1431.6,773408,MCX.NS,50.998
2021-02-11,2021,1428.3,532553,MCX.NS,50.998
2021-02-12,2021,1497.5,728680,MCX.NS,50.998
2021-02-15,2021,1470.0,270890,MCX.NS,50.998
2021-02-16,2021,1469.6,456825,MCX.NS,50.998
2021-02-17,2021,1438.2,345921,MCX.NS,50.998
2021-02-18,2021,1436.7,220514,MCX.NS,50.998
2021-02-19,2021,1437.0,155337,MCX.NS,50.998
2021-02-22,2021,1426.0,177677,MCX.NS,50.998
2021-02-23,2021,1437.0,118410,MCX.NS,50.998
2021-02-24,2021,1453.9,150085,MCX.NS,50.998
2021-02-25,2021,1454.8,149375,MCX.NS,50.998
2021-02-26,2021,1447.0,215860,MCX.NS,50.998
2021-03-01,2021,1439.4,194963,MCX.NS,50.998
2021-03-02,2021,1438.2,210276,MCX.NS,50.998
2021-03-03,2021,1476.4,390228,MCX.NS,50.998
2021-03-04,2021,1469.9,124243,MCX.NS,50.998
2021-03-05,2021,1443.9,116981,MCX.NS,50.998
2021-03-08,2021,1467.6,281087,MCX.NS,50.998
2021-03-09,2021,1450.6,160702,MCX.NS,50.998
2021-03-10,2021,1451.3,165787,MCX.NS,50.998
2021-03-12,2021,1456.9,295044,MCX.NS,50.998
2021-03-15,2021,1473.6,276078,MCX.NS,50.998
2021-03-16,2021,1513.1,551861,MCX.NS,50.998
2021-03-17,2021,1536.9,582354,MCX.NS,50.998
