,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
129,500253,LIC HOUSING FINANCE LTD.,LICHSGFIN,"36,383.92 Cr.","20,011.15 Cr.",Financial Services
130,500257,LUPIN LTD.,LUPIN,"73,642.38 Cr.","39,030.46 Cr.",Healthcare
131,500259,LYKA LABS LTD.,LYKALABS,408.33 Cr.,183.75 Cr.,Healthcare
132,500260,The Ramco Cements Limited,RAMCOCEM,"18,840.77 Cr.","10,174.02 Cr.",Construction Materials
133,500264,MAFATLAL INDUSTRIES LTD.,MAFATIND,886.64 Cr.,257.12 Cr.,Textiles
134,500265,MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,"11,929.28 Cr.","3,698.08 Cr.",Capital Goods
135,500266,MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER,"9,038.00 Cr.","4,247.86 Cr.",Financial Services
136,500267,MAJESTIC AUTO LTD.,MAJESAUT,314.94 Cr.,78.73 Cr.,Services
137,500268,MANALI PETROCHEMICAL LTD.,MANALIPETC,"1,332.99 Cr.",666.50 Cr.,Chemicals
138,500271,Max Financial Services Ltd,MFSL,"34,435.55 Cr.","24,449.24 Cr.",Financial Services
139,500277,MID INDIA INDUSTRIES LTD.,MIDINDIA,15.88 Cr.,7.78 Cr.,Textiles
140,500279,MIRC ELECTRONICS LTD.,MIRCELECTR,559.60 Cr.,257.42 Cr.,Consumer Durables
141,500280,CENTURY ENKA LTD.,CENTENKA,"1,010.15 Cr.",747.51 Cr.,Textiles
142,500284,LORDS CHLORO ALKALI LTD.,LORDSCHLO,335.55 Cr.,83.89 Cr.,Chemicals
143,500285,SPICEJET LTD.,SPICEJET,"4,832.50 Cr.","1,836.35 Cr.",Services
144,500288,MOREPEN LABORATORIES LTD.,MOREPENLAB,"2,605.94 Cr.","1,615.68 Cr.",Healthcare
145,500290,MRF LTD.,MRF,"55,249.09 Cr.","26,519.57 Cr.",Automobile and Auto Components
146,500292,HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,"4,501.67 Cr.","1,395.52 Cr.",Construction Materials
147,500294,NCC Limited,NCC,"15,689.89 Cr.","12,238.11 Cr.",Construction
148,500295,Vedanta Limited,VEDL,"1,47,442.60 Cr.","53,079.34 Cr.",Metals & Mining
149,500296,NAHAR SPINNING MILLS LTD.,NAHARSPING,"1,029.48 Cr.",319.14 Cr.,Textiles
150,500298,NATIONAL PEROXIDE LTD.,NAPEROL,511.11 Cr.,148.22 Cr.,Chemicals
